Category,Description,Brand,Water,Size,Ounces,"Cal/Cup",Fiber,Fats,Carbs,Protein,Calories,"Cal / Oz"
Snacks,Sunflower Seeds,Trader Joes,,1/4 cup,1.164,800,,17,8,7,200,171.8
Snacks,Drink Mix,Accelerade (Mtn Berry),,1 scoop,1.09,,,1,21,5,120,110.1
Snacks,Syntha 6 Protein Shake,BSN,,1 scoop,1.66,963,Y,6,15,22,200,120.5
Snacks,Creatine,Purblue,,1 scoop,0.18,,,,,,,
Snacks,Fish Oil,Athletic Greens,,2 softgels,0.05,20,,2,0,0,20,400
Dinner,Broc & Cheddar,"Knorr's Pasta / Rice",,1 pkg,4.2,360,,4,76,14,400,95.2
Dinner,Rice,Minute Rice (Boil in a Bag) ,,1 pouch,3.5,,,0,81.2,7.9,356,101.7
Dinner,Mashed Potatoes,Idahoan Baby Reds,,1 packet,4.1,440,,12,84,8,440,107.3
Dinner,Parm Couscous,Near East,1.25,2 ounce,2,600,,2,39,8,200,100
Dinner,WW Couscous,Trader Joes,,1/3 cup,2.18,660,Y,1,44,8,220,100.9
Dinner,Instant Mac&Cheese,Kraft,,1 package,2.05,600,,3.5,40,7,220,107.3
Dinner,Chicken,Tyson Pouch,,1 packet,7,,,5,0,49,245,35
Dinner,Salmon,Pouch,,1 packet,5,,,8,0,33,215,43
Dinner,Teriyaki Sauce,Dehydrated,,1 packet,1.6,,,0.9,27.6,4.1,130,81.3
Dinner,Real Bacon,Kroger ,,1 tbsp,0.25,400,,1.5,0,3,25,100
Dinner,Vegetables,Just Veggies,,1 ounce,1,,,1,21,4,102,102
Dinner,Olive Oil,Marconi Organic,,1/2 ounce,0.5,,,13.9,0,0,119,238
Dinner,Pepperoni,Hormel,,1 ounce 6pc,1,,,13,0,5,140,140
Dinner,Beef Stroganoff,Mountain House,,2.5 servings,4.8,250,,25,75,25,625,130.2
Dinner,Tuna in Olive Oil,Starkist,,1 packet,2.6,608,,12,0,18,190,73.1
Dinner,Original,Pringles,,16 chips,1,,,9,15,1,150,150
Dinner,Chicken,Ramen,,1 block,3.03,,,14,52,8,380,125.4
Dinner,Powdered Milk,Nido - Dry Whole Milk,,1/4 cup,1.08,560,,9,11,7,160,148.1
Dinner,Mountain House,Various,,2 Servings,5,225,,22,32,54,600,120
Dinner,Rice and Chicken,Mountain House #10,,2 cups,4.2,270,,20,82,14,540,128.6
